route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
"100023","KCM","124","","Tukwila - E Marginal - CBD",3,"http://metro.kingcounty.gov/schedules/124/n0.html",,
"100168","KCM","277","","Totem Lake/U Dist.",3,"http://metro.kingcounty.gov/schedules/277/n0.html",,
"100196","KCM","331","","S03: Kenmore - SCC",3,"http://metro.kingcounty.gov/schedules/331/n0.html",,
"100059","KCM","167","","Auburn-Kent-Renton-Univ Dist",3,"http://metro.kingcounty.gov/schedules/167/n0.html",,
"100017","KCM","119","","Dockton",3,"http://metro.kingcounty.gov/schedules/119/n0.html",,
"100031","KCM","132","","Des Moines",3,"http://metro.kingcounty.gov/schedules/132/n0.html",,
"100146","KCM","255","","Seattle/Kirkland/Kingsgate (Tunnel)",3,"http://metro.kingcounty.gov/schedules/255/n0.html",,
"100038","KCM","139","","Burien/Gregory Heights Shuttle",3,"http://metro.kingcounty.gov/schedules/139/n0.html",,
"100204","KCM","347","","NTC - Mountlake Terrace",3,"http://metro.kingcounty.gov/schedules/347/n0.html",,
"100106","KCM","214","","Seattle - Issaquah 908",3,"http://metro.kingcounty.gov/schedules/214/n0.html",,
"100230","KCM","50","","Seward Park/Alki",3,"http://metro.kingcounty.gov/schedules/050/n0.html",,
"100074","KCM","183","","Kent/Federal Way Shuttle",3,"http://metro.kingcounty.gov/schedules/183/n0.html",,
"100013","KCM","114","","Renton Highlands to C.D.B. Via I-405 & I-90",3,"http://metro.kingcounty.gov/schedules/114/n0.html",,
"100045","KCM","150","","Kent-Southcenter to C.B.D. & Tunnel",3,"http://metro.kingcounty.gov/schedules/150/n0.html",,
"100072","KCM","181","","Green River CC/Auburn/Federal Way",3,"http://metro.kingcounty.gov/schedules/181/n0.html",,
"100048","KCM","153","","Kent/Renton Shuttle",3,"http://metro.kingcounty.gov/schedules/153/n0.html",,
"100084","KCM","192","","S. Military Rd. - K.D.M. - I-5 to Seneca St.",3,"http://metro.kingcounty.gov/schedules/192/n0.html",,
"100195","KCM","330","","Lake City - Shoreline CC",3,"http://metro.kingcounty.gov/schedules/330/n0.html",,
"100133","KCM","240","","Bellevue\Renton",3,"http://metro.kingcounty.gov/schedules/240/n0.html",,
"100135","KCM","243","","Jackson Park to Wilburton P&R",3,"http://metro.kingcounty.gov/schedules/243/n0.html",,
"100159","KCM","268","","Seattle/Bear Creek",3,"http://metro.kingcounty.gov/schedules/268/n0.html",,
"100126","KCM","234","","Bellevue/Kirkland/Kenmore",3,"http://metro.kingcounty.gov/schedules/234/n0.html",,
"100042","KCM","148","","Fairwood--S.Renton Hub Shuttle.",3,"http://metro.kingcounty.gov/schedules/148/n0.html",,
"100091","KCM","200","","Issaquah Shuttle",3,"http://metro.kingcounty.gov/schedules/200/n0.html",,
"100009","KCM","11","","Madison",3,"http://metro.kingcounty.gov/schedules/011/n0.html",,
"102578","KCM","61","","Ballard - North Beach Loop",3,"http://metro.kingcounty.gov/schedules/061/n0.html",,
"100060","KCM","168","","Timberlane - Kent Rail Station",3,"http://metro.kingcounty.gov/schedules/168/n0.html",,
"100161","KCM","27","","Yesler-Leschi Park",3,"http://metro.kingcounty.gov/schedules/027/n0.html",,
"100270","KCM","76","","Wedgwood Express",3,"http://metro.kingcounty.gov/schedules/076/n0.html",,
"102572","KCM","29","","Ballard - West Queen Anne (old 2express +)",3,"http://metro.kingcounty.gov/schedules/029/n0.html",,
"100184","KCM","31","","Magnolia to University",3,"http://metro.kingcounty.gov/schedules/031/n0.html",,
"100182","KCM","308","","Aurora Village Via Lake Forest Park",3,"http://metro.kingcounty.gov/schedules/308/n0.html",,
"100064","KCM","173","","Federal Way to E Marginal Wy & Boeing",3,"http://metro.kingcounty.gov/schedules/173/n0.html",,
"100069","KCM","178","","South Fed Way & Fed P&R",3,"http://metro.kingcounty.gov/schedules/178/n0.html",,
"100088","KCM","197","","Twin Lakes P&R/Federal Way/Univ Dist",3,"http://metro.kingcounty.gov/schedules/197/n0.html",,
"100193","KCM","32","","Seattle Center to U-District",3,"http://metro.kingcounty.gov/schedules/032/n0.html",,
"100109","KCM","217","","Issaquah/CBD",3,"http://metro.kingcounty.gov/schedules/217/n0.html",,
"100006","KCM","107","","Rainier Beach/Renton Shuttle",3,"http://metro.kingcounty.gov/schedules/107/n0.html",,
