route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"100136","WEEKDAY","24369905","KIRKLAND, CROSSROADS","LOCAL",0,"3508102","11245093"
"100136","WEEKDAY","24369910","KIRKLAND, CROSSROADS","LOCAL",0,"3508102","11245093"
"100136","WEEKDAY","24369827","FACTORIA, CROSSROADS","LOCAL",1,"3508103","20245091"
"100136","WEEKDAY","24369831","FACTORIA, CROSSROADS","LOCAL",1,"3508103","20245091"
"100136","WEEKDAY","24369836","FACTORIA, CROSSROADS","LOCAL",1,"3508103","20245091"
"100136","WEEKDAY","24369859","KIRKLAND, CROSSROADS","LOCAL",0,"3508103","11245093"
"100136","WEEKDAY","24369864","KIRKLAND, CROSSROADS","LOCAL",0,"3508103","11245093"
"100136","WEEKDAY","24369869","KIRKLAND, CROSSROADS","LOCAL",0,"3508103","11245093"
"100136","WEEKDAY","24369889","FACTORIA, CROSSROADS","LOCAL",1,"3508103","20245091"
"100136","WEEKDAY","24369898","FACTORIA, CROSSROADS","LOCAL",1,"3508103","20245091"
"100136","WEEKDAY","24369909","KIRKLAND, CROSSROADS","LOCAL",0,"3508103","11245093"
"100137","WEEKDAY","21649917","EASTGATE P&R, BELLEVUE TRANSIT CENTER","LOCAL",1,"3508104","20246312"
"100137","WEEKDAY","21649919","EASTGATE P&R, BELLEVUE TRANSIT CENTER","LOCAL",1,"3508104","20246312"
"100137","WEEKDAY","21649924","BELLEVUE","LOCAL",0,"3508104","11246311"
"100137","WEEKDAY","21649926","BELLEVUE","LOCAL",0,"3508104","11246311"
"100137","WEEKDAY","21649928","BELLEVUE","LOCAL",0,"3508104","11246311"
"100137","WEEKDAY","21649929","BELLEVUE","LOCAL",0,"3508104","11246311"
"100137","WEEKDAY","21649932","BELLEVUE","LOCAL",0,"3508104","11246311"
"100137","WEEKDAY","21649937","BELLEVUE","LOCAL",0,"3508104","11246311"
"100137","WEEKDAY","21649941","EASTGATE P&R, BELLEVUE TRANSIT CENTER","LOCAL",1,"3508104","20246312"
"100137","WEEKDAY","21649944","EASTGATE P&R, BELLEVUE TRANSIT CENTER","LOCAL",1,"3508104","20246312"
"100137","WEEKDAY","21649946","BELLEVUE","LOCAL",0,"3508104","11246311"
"100137","WEEKDAY","23383291","EASTGATE P&R, BELLEVUE TRANSIT CENTER","LOCAL",1,"3508104","20246312"
"100137","WEEKDAY","23383298","EASTGATE P&R, BELLEVUE TRANSIT CENTER","LOCAL",1,"3508104","20246313"
"100137","WEEKDAY","23383321","EASTGATE P&R, BELLEVUE TRANSIT CENTER","LOCAL",1,"3508104","20246312"
"100162","WEEKDAY","21650594","UNIVERSITY DISTRICT, BELLEVUE","LOCAL",1,"3508105","30271132"
"100162","WEEKDAY","21650633","EASTGATE P&R, BELLEVUE","LOCAL",0,"3508105","41271128"
"100162","WEEKDAY","21650672","EASTGATE P&R, BELLEVUE","LOCAL",0,"3508105","41271127"
"100137","WEEKDAY","21649913","BELLEVUE","LOCAL",0,"3508106","11246311"
"100137","WEEKDAY","21649916","EASTGATE P&R, BELLEVUE TRANSIT CENTER","LOCAL",1,"3508106","20246312"
"100137","WEEKDAY","21649918","EASTGATE P&R, BELLEVUE TRANSIT CENTER","LOCAL",1,"3508106","20246312"
"100137","WEEKDAY","21649920","EASTGATE P&R, BELLEVUE TRANSIT CENTER","LOCAL",1,"3508106","20246312"
"100137","WEEKDAY","21649927","BELLEVUE","LOCAL",0,"3508106","11246311"
"100137","WEEKDAY","21649938","BELLEVUE","LOCAL",0,"3508106","11246311"
"100137","WEEKDAY","21649940","EASTGATE P&R, BELLEVUE TRANSIT CENTER","LOCAL",1,"3508106","20246312"
"100137","WEEKDAY","21649942","BELLEVUE","LOCAL",0,"3508106","11246311"
"100137","WEEKDAY","21649943","BELLEVUE","LOCAL",0,"3508106","11246311"
"100137","WEEKDAY","21649948","BELLEVUE","LOCAL",0,"3508106","11246311"
"100137","WEEKDAY","23383299","EASTGATE P&R, BELLEVUE TRANSIT CENTER","LOCAL",1,"3508106","20246313"
"100137","WEEKDAY","23383309","EASTGATE P&R, BELLEVUE TRANSIT CENTER","LOCAL",1,"3508106","20246312"
"100137","WEEKDAY","25535398","BELLEVUE","LOCAL",0,"3508106","11246311"
"100137","WEEKDAY","25535652","EASTGATE P&R, BELLEVUE TRANSIT CENTER","LOCAL",1,"3508106","20246312"
"100092","WEEKDAY","21649349","N MERCER ISLAND, W MERCER WAY","LOCAL",1,"3508107","10201030"
"100095","WEEKDAY","21649352","N MERCER ISLAND","LOCAL",1,"3508107","10204017"
"100095","WEEKDAY","21649354","N MERCER ISLAND","LOCAL",1,"3508107","10204017"
"100095","WEEKDAY","21649356","N MERCER ISLAND","LOCAL",1,"3508107","10204017"
"100095","WEEKDAY","21649358","N MERCER ISLAND","LOCAL",1,"3508107","10204017"
"100095","WEEKDAY","21649360","N MERCER ISLAND","LOCAL",1,"3508107","10204017"
"100095","WEEKDAY","21649362","N MERCER ISLAND","LOCAL",1,"3508107","10204017"
"100094","WEEKDAY","21649368","MERCER ISLAND P&R, SHOREWOOD","LOCAL",1,"3508107","30203037"
"100094","WEEKDAY","21649369","MERCER ISLAND P&R, SHOREWOOD","LOCAL",1,"3508107","30203037"
"100094","WEEKDAY","21649370","MERCER ISLAND P&R, SHOREWOOD","LOCAL",1,"3508107","30203037"
"100094","WEEKDAY","21649371","MERCER ISLAND P&R, SHOREWOOD","LOCAL",1,"3508107","30203037"
"100094","WEEKDAY","21649372","MERCER ISLAND P&R, SHOREWOOD","LOCAL",1,"3508107","30203037"
"100094","WEEKDAY","21649373","MERCER ISLAND P&R, SHOREWOOD","LOCAL",1,"3508107","30203037"
"100094","WEEKDAY","21649383","MERCER ISLAND P&R, MERCER ISLAND HS","LOCAL",0,"3508107","41203031"
"100094","WEEKDAY","21649388","MERCER ISLAND P&R, SHOREWOOD","LOCAL",0,"3508107","41203033"
"100095","WEEKDAY","21649389","S MERCER ISLAND","LOCAL",0,"3508107","21204015"
"100094","WEEKDAY","21649392","MERCER ISLAND P&R, SHOREWOOD","LOCAL",0,"3508107","41203033"
"100095","WEEKDAY","21649393","S MERCER ISLAND","LOCAL",0,"3508107","21204015"
"100094","WEEKDAY","21649396","MERCER ISLAND P&R, SHOREWOOD","LOCAL",0,"3508107","41203033"
"100095","WEEKDAY","21649397","S MERCER ISLAND","LOCAL",0,"3508107","21204015"
"100094","WEEKDAY","21649400","MERCER ISLAND P&R, SHOREWOOD","LOCAL",0,"3508107","41203033"
"100095","WEEKDAY","21649401","S MERCER ISLAND","LOCAL",0,"3508107","21204015"
"100094","WEEKDAY","21649404","MERCER ISLAND P&R, SHOREWOOD","LOCAL",0,"3508107","41203033"
"100095","WEEKDAY","21649405","S MERCER ISLAND","LOCAL",0,"3508107","21204015"
"100094","WEEKDAY","21649408","MERCER ISLAND P&R, SHOREWOOD","LOCAL",0,"3508107","41203033"
"100095","WEEKDAY","21649409","S MERCER HS, VIA 84 SE/SE 78","LOCAL",0,"3508107","21204016"
"100095","WEEKDAY","21649518","N MERCER ISLAND","LOCAL",1,"3508107","10204017"
"100094","WEEKDAY","21649519","MERCER ISLAND P&R, SHOREWOOD","LOCAL",1,"3508107","30203037"
"100094","WEEKDAY","21649520","MERCER ISLAND P&R, SHOREWOOD","LOCAL",1,"3508107","30203037"
"100094","WEEKDAY","21649521","MERCER ISLAND P&R, SHOREWOOD","LOCAL",0,"3508107","41203033"
"100095","WEEKDAY","21649522","S MERCER ISLAND","LOCAL",0,"3508107","21204015"
"100095","WEEKDAY","21649524","S MERCER ISLAND","LOCAL",0,"3508107","21204015"
"100092","WEEKDAY","21649350","N MERCER ISLAND, W MERCER WAY","LOCAL",1,"3508108","10201030"
"100095","WEEKDAY","21649351","N MERCER ISLAND","LOCAL",1,"3508108","10204017"
"100095","WEEKDAY","21649353","N MERCER ISLAND","LOCAL",1,"3508108","10204017"
"100095","WEEKDAY","21649355","N MERCER ISLAND","LOCAL",1,"3508108","10204017"
"100095","WEEKDAY","21649357","N MERCER ISLAND","LOCAL",1,"3508108","10204017"
"100095","WEEKDAY","21649359","N MERCER ISLAND","LOCAL",1,"3508108","10204017"
"100095","WEEKDAY","21649361","N MERCER ISLAND","LOCAL",1,"3508108","10204017"
"100095","WEEKDAY","21649363","N MERCER ISLAND","LOCAL",1,"3508108","10204017"
"100094","WEEKDAY","21649364","MERCER ISLAND P&R, SHOREWOOD","LOCAL",1,"3508108","30203036"
"100094","WEEKDAY","21649365","MERCER ISLAND P&R, SHOREWOOD","LOCAL",1,"3508108","30203036"
"100094","WEEKDAY","21649366","MERCER ISLAND P&R, SHOREWOOD","LOCAL",1,"3508108","30203037"
"100094","WEEKDAY","21649367","MERCER ISLAND P&R, SHOREWOOD","LOCAL",1,"3508108","30203037"
"100094","WEEKDAY","21649374","MERCER ISLAND P&R, SHOREWOOD","LOCAL",1,"3508108","30203036"
"100094","WEEKDAY","21649375","MERCER ISLAND P&R, SHOREWOOD","LOCAL",1,"3508108","30203036"
"100094","WEEKDAY","21649376","MERCER ISLAND P&R, SHOREWOOD","LOCAL",1,"3508108","30203036"
"100094","WEEKDAY","21649377","MERCER ISLAND P&R, SHOREWOOD","LOCAL",1,"3508108","30203036"
"100094","WEEKDAY","21649378","MERCER ISLAND P&R, SHOREWOOD","LOCAL",1,"3508108","30203036"
"100094","WEEKDAY","21649379","MERCER ISLAND P&R, SHOREWOOD","LOCAL",1,"3508108","30203037"
"100094","WEEKDAY","21649380","MERCER ISLAND P&R, SHOREWOOD","LOCAL",0,"3508108","41203035"
"100136","WEEKDAY","24369830","FACTORIA, CROSSROADS","LOCAL",1,"3508070","20245091"
"100136","WEEKDAY","24369835","FACTORIA, CROSSROADS","LOCAL",1,"3508070","20245091"
"100136","WEEKDAY","24369847","FACTORIA, CROSSROADS","LOCAL",1,"3508070","20245091"
"100136","WEEKDAY","24369854","KIRKLAND, CROSSROADS","LOCAL",0,"3508070","11245093"
"100136","WEEKDAY","24369863","KIRKLAND, CROSSROADS","LOCAL",0,"3508070","11245093"
"100136","WEEKDAY","24369866","KIRKLAND, CROSSROADS","LOCAL",0,"3508070","11245094"
"100136","WEEKDAY","24369872","KIRKLAND, CROSSROADS","LOCAL",0,"3508070","11245093"
"100136","WEEKDAY","24369888","FACTORIA, CROSSROADS","LOCAL",1,"3508070","20245091"
"100136","WEEKDAY","24369904","FACTORIA, CROSSROADS","LOCAL",1,"3508070","20245091"
"100136","WEEKDAY","24369908","KIRKLAND, CROSSROADS","LOCAL",0,"3508070","11245093"
"100128","WEEKDAY","24369205","WOODINVILLE, TOTEM LAKE","LOCAL",0,"3508071","11236059"
"100128","WEEKDAY","24369213","WOODINVILLE, TOTEM LAKE","LOCAL",0,"3508071","11236059"
"100128","WEEKDAY","24369221","WOODINVILLE, TOTEM LAKE","LOCAL",0,"3508071","11236059"
"100128","WEEKDAY","24369226","KIRKLAND, TOTEM LAKE","LOCAL",1,"3508071","20236060"
"100128","WEEKDAY","24369235","KIRKLAND, TOTEM LAKE","LOCAL",1,"3508071","20236060"
"100128","WEEKDAY","24369243","KIRKLAND, TOTEM LAKE","LOCAL",1,"3508071","20236060"
"100130","WEEKDAY","24369961","BOTHELL, TOTEM LAKE","LOCAL",0,"3508071","11238060"
"100130","WEEKDAY","24369968","BOTHELL, TOTEM LAKE","LOCAL",0,"3508071","11238060"
"100130","WEEKDAY","24369986","KIRKLAND, TOTEM LAKE","LOCAL",1,"3508071","20238061"
"100130","WEEKDAY","24370191","BOTHELL, TOTEM LAKE","LOCAL",0,"3508071","11238060"
"100130","WEEKDAY","24370196","KIRKLAND, TOTEM LAKE","LOCAL",1,"3508071","20238061"
"100130","WEEKDAY","24370205","KIRKLAND, TOTEM LAKE","LOCAL",1,"3508071","20238061"
"100128","WEEKDAY","24369202","WOODINVILLE, TOTEM LAKE","LOCAL",0,"3508072","11236059"
"100128","WEEKDAY","24369210","WOODINVILLE, TOTEM LAKE","LOCAL",0,"3508072","11236059"
"100128","WEEKDAY","24369218","WOODINVILLE, TOTEM LAKE","LOCAL",0,"3508072","11236059"
"100128","WEEKDAY","24369223","WOODINVILLE, TOTEM LAKE","LOCAL",0,"3508072","11236059"
"100128","WEEKDAY","24369224","KIRKLAND, TOTEM LAKE","LOCAL",1,"3508072","20236060"
"100128","WEEKDAY","24369232","KIRKLAND, TOTEM LAKE","LOCAL",1,"3508072","20236060"
"100128","WEEKDAY","24369240","KIRKLAND, TOTEM LAKE","LOCAL",1,"3508072","20236060"
"100128","WEEKDAY","24369248","KIRKLAND, TOTEM LAKE","LOCAL",1,"3508072","20236060"
"100130","WEEKDAY","24369959","BOTHELL, TOTEM LAKE","LOCAL",0,"3508072","11238060"
"100130","WEEKDAY","24369964","BOTHELL, TOTEM LAKE","LOCAL",0,"3508072","11238060"
